ap@5,Ps = 10,,,Ps=30,,,Ps = 50,,,Ps = 10,,,,,Ps = 30,,,,,Ps = 50,,,,,Ps = 10,,,,,Ps = 30,,,,,Ps = 50,,,
num_q=2,num_q=4,num_q=6,num_q=2,num_q=4,num_q=6,num_q=2,num_q=4,num_q=6,pop=5,pop=10,pop=15,pop=20,pop=25,pop=5,pop=10,pop=15,pop=20,pop=25,pop=5,pop=10,pop=15,pop=20,pop=25,iter=10,iter=20,iter=30,iter=40,iter=50,iter=10,iter=20,iter=30,iter=40,iter=50,iter=10,iter=20,iter=30,iter=40,iter=50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=10,0.455505952,0.464667842,0.382512125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=30,0.503191138,0.551219871,0.325198413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=50,0.414745003,0.494606114,0.446272781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,popul = 5,popul = 10,popul = 15,popul = 20,popul = 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=10,0.373110355,0.517291299,0.640228175,0.468680188,0.468680188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=30,0.397156085,0.326653439,0.498309818,0.449632569,0.526802249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=50,0.489976484,0.389315109,0.461458333,0.517291299,0.510135582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iter = 10,iter = 20,iter = 30,iter = 40,iter = 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=10,0.577939447,0.611292989,0.656828704,0.503191138,0.428556731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=30,0.535346855,0.524235744,0.443680188,0.492932729,0.482569077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo_rel=50,0.510135582,0.444246032,0.548309818,0.514976484,0.555717225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
